,name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
111,is_preorder.to_is_trans,195616,34516,77124,0,15299,15299,0
112,cond._main,98801,12571,38863,0,7361,7361,0
113,has_sub.cases_on,137279,18139,57388,0,10879,10879,0
114,is_total_preorder.to_is_trans,199248,36287,78166,0,15768,15768,0
115,cond._sunfold,98801,12044,39138,0,7275,7275,0
116,list.below,241200,51329,91703,0,19124,19124,0
117,nat.lt_succ_self,44818,4695,18687,0,3352,3352,0
118,coe_b,206805,39116,80871,0,16193,16193,0
119,_private.2042382769.V.equations._eqn_1,114528,14851,43723,0,8195,8195,0
120,has_sub.rec_on,137279,21126,58648,0,11785,11785,0
121,is_linear_order.to_is_partial_order,211804,53552,84075,0,18947,18947,0
122,trace,194837,188881,86609,2,28298,28298,0
123,or_false,289977,63078,121673,0,25251,25251,0
124,coe_t,206805,53810,81285,0,18582,18582,0
125,is_strict_total_order.to_is_strict_weak_order,223018,55652,87707,0,18661,18661,0
126,is_strict_total_order.to_is_trichotomous,222362,58130,88779,0,18655,18655,0
127,coe_fn,-1,-1,-1,-1,-1,-1,200
128,vm_decl_kind.bytecode.inj_eq,244286,47098,92949,0,19027,19027,0
129,implies.trans,40401,5311,16652,0,3431,3431,0
130,vm_obj_kind.other.inj_eq,254312,49497,95951,0,19778,19778,0
131,vm_decl_kind.builtin.inj_eq,244286,56656,95191,0,19244,19244,0
132,feature_search.predictor_type.knn.inj_eq,244286,59074,94651,0,19517,19517,0
133,vm_obj_kind.constructor.inj_eq,254406,56941,95629,0,19868,19868,0
134,vm_obj_kind.declaration.inj_eq,254406,46864,94524,0,19390,19390,0
135,option.rec_on,164822,23894,66596,0,12943,12943,0
136,buffer,-1,-1,-1,-1,-1,-1,200
137,ordering.or_else._sunfold,114696,19669,44654,0,9191,9191,0
138,char_buffer,-1,-1,-1,-1,-1,-1,200
139,function.has_right_inverse,117762,15782,45322,0,8499,8499,0
140,ulift.down_up,54638,5370,20939,0,3929,3929,0
141,is_total_preorder.rec_on,184858,34775,73630,0,14757,14757,0
142,option.rhoare._main,153219,25663,64783,0,13231,13231,0
143,is_equiv.rec_on,185590,34654,74767,0,14813,14813,0
144,ne.equations._eqn_1,110329,15094,43090,0,8091,8091,0
145,nonempty.dcases_on,219743,41509,85594,0,17532,17532,0
146,monad.cases_on,180975,34086,73963,0,14647,14647,0
147,false_and,249920,56365,94785,0,19330,19330,0
148,is_symm.cases_on,186720,38761,75059,0,15253,15253,0
149,and_iff_right,289031,72371,123182,0,25738,25738,0
150,is_symm.rec_on,186720,44230,75289,0,16678,16678,0
151,is_total.cases_on,192674,36161,76407,0,15475,15475,0
152,tactic.unfold_config.no_confusion_type,210880,40362,81387,0,17339,17339,0
153,is_total.rec_on,192674,38622,76934,0,15721,15721,0
154,monad_io_random.cases_on,-1,-1,-1,-1,-1,-1,200
155,string.iterator.next_to_string,264297,176031,119591,2,35222,35222,0
156,monad_io_random.rec_on,-1,-1,-1,-1,-1,-1,200
157,monad_run.run,271994,65296,116067,0,23577,23577,0
158,mk_simple_name,266844,330119,124734,2,46259,46259,0
159,name.anonymous.inj,248616,359130,107212,3,45126,45126,0
160,has_seq_right.rec_on,163771,32454,67290,0,14544,14544,0
161,true_and,285762,68870,120577,0,24350,24350,0
162,heq.cases_on,254233,56875,96430,0,20070,20070,0
163,has_coe_to_sort.rec_on,212131,34714,81735,0,16470,16470,0
164,option.is_some,166346,27695,67631,0,13476,13476,0
165,environment.projection_info.is_class,335314,313954,145114,2,53563,53563,0
166,reader_t.has_monad_lift,265607,75116,115077,0,24609,24609,0
167,interactive.loc.wildcard.inj,254176,359437,121154,3,46802,46802,0
168,psigma.cases_on,221212,39027,84162,0,17019,17019,0
169,decidable.rec_on,209835,45934,82190,0,17122,17122,0
170,xor.decidable._proof_2,193674,34154,77703,0,15200,15200,0
171,string.to_list,262034,292651,121116,3,39723,39723,0
172,smt_config.cc_cfg._default,319905,352965,142474,3,52759,52759,0
173,has_repr.rec_on,306571,226005,134570,2,40664,40664,0
174,ordering.sizeof,112091,14193,42911,0,8034,8034,0
175,xor.decidable._proof_3,195832,34305,77196,0,15195,15195,0
176,has_to_string.rec_on,306571,258287,136727,2,41016,41016,0
177,function.comp.right_id,103730,13661,40498,0,7704,7704,0
178,is_asymm.cases_on,231357,55411,90313,0,18493,18493,0
179,is_trans.rec_on,211812,40724,82054,0,16959,16959,0
180,smt_pre_config.simp_attr,330023,399288,145733,3,54908,54908,0
181,tactic.interactive.case_tag.match_result.has_sizeof_inst,146554,19617,60647,0,11570,11570,0
182,classical.strong_indefinite_description._proof_2,109095,17512,42521,0,8847,8847,0
183,equivalence,208469,33994,80803,0,16001,16001,0
184,is_left_null.cases_on,261637,60547,113282,0,22981,22981,0
185,ite,217073,44117,86316,0,18021,18021,0
186,bool.no_confusion_type,135386,17329,57410,0,10740,10740,0
187,int.has_one.equations._eqn_1,122349,16083,46580,0,8641,8641,0
188,refl_of,203368,37699,79818,0,15794,15794,0
189,is_associative.rec_on,223484,48498,86114,0,18179,18179,0
190,transitive.equations._eqn_1,166477,26849,68011,0,13161,13161,0
191,right_inverse.equations._eqn_1,143624,20361,61098,0,11833,11833,0
192,is_right_cancel.cases_on,236332,50504,90204,0,18712,18712,0
193,classical.exists_true_of_nonempty,249474,46298,93624,0,19294,19294,0
194,list.tail._sunfold,203026,39197,79762,0,15980,15980,0
195,psum.rec_on,261254,79478,98584,0,23240,23240,0
196,iff_false,340440,101756,138808,0,29623,29623,0
197,applicative.cases_on,233047,59695,91389,0,19129,19129,0
198,bxor,125367,15898,47434,0,8738,8738,0
199,bxor._sunfold,125367,16699,47864,0,8979,8979,0
200,reader_t.cases_on,285112,64054,120461,0,27190,27190,0
201,trichotomous,-1,-1,-1,-1,-1,-1,200
202,heq_of_eq,290455,77753,123505,0,25759,25759,0
203,exists.intro.equations._eqn_1,200479,43514,80536,0,17122,17122,0
204,nonempty_of_inhabited.equations._eqn_1,214758,47017,84098,0,17557,17557,0
205,has_andthen.rec_on,299933,90716,128138,0,27021,27021,0
206,is_distinct.cases_on,332384,96135,136498,0,29141,29141,0
207,has_one.no_confusion_type,292163,71083,122761,0,25577,25577,0
208,sizeof_measure,197407,35508,78001,0,15667,15667,0
209,strict_weak_order.equiv.equations._eqn_1,135127,19787,58163,0,11125,11125,0
210,or.comm,425576,165581,167669,0,39134,39134,0
211,has_neg.no_confusion_type,307443,69207,125987,0,27062,27062,0
212,is_right_cancel.right_cancel,377192,116176,148788,0,34517,34517,0
213,decidable.by_contradiction,245736,66997,94928,0,21326,21326,0
