name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
vm_obj_kind.declaration.inj_eq,245680,1048146088,20595719425,77866728556,762,14855777555,555819107,0
vm_obj_kind.constructor.inj_eq,245680,1079005926,22295213782,78947403661,673,15538895729,564696349,0
monad_io_random.cases_on,-1,-1,-1,-1,-1,-1,-1,-1234
nonempty.dcases_on,208638,588526904,18682814848,68208019489,690,13680532295,124011208,0
function.has_right_inverse,113757,791192327,10165749096,37365895887,547,7405400202,64936958,0
monad_io_random.rec_on,-1,-1,-1,-1,-1,-1,-1,-1234
is_equiv.rec_on,180325,1193386097,15376330422,61622048264,851,11871417660,436131227,0
ne.equations._eqn_1,105147,879912310,8304757101,34139913664,632,6602148911,205057515,0
option.rhoare._main,148319,1094560465,12570927544,53185114978,774,10250314894,187376089,0
false_and,240840,1388029923,28089057216,77687851661,1061,16750857035,194521348,0
monad.cases_on,174132,1680378639,14727056568,59492827593,449,11425678851,825838033,0
is_symm.cases_on,179784,598064806,16100436219,61332736914,870,11982075503,211564222,0
and_iff_right,278408,743590112,23940470971,101101418882,792,19136861372,182260042,0
is_symm.rec_on,179784,567670837,14760017929,61281435936,889,11703679456,210801625,0
has_seq_right.rec_on,157518,575071800,14475105305,55497909716,1307,11356266553,214813736,0
string.iterator.extract._match_1,-1,-1,-1,-1,-1,-1,-1,-1234
is_total.rec_on,187801,755916795,18131628484,63563195386,638,13192136863,303078102,0
tactic.unfold_config.no_confusion_type,203400,1236317228,17665813819,68054696317,549,13613439148,505130662,0
reader_t.has_monad_lift,255784,2460803903,25818162027,82443973177,1252,17107482270,1002911219,0
ordering.sizeof,108368,876903987,8589212627,35176814608,708,6867890207,181428528,0
is_total.cases_on,187801,1039739702,22201232987,64311558301,829,13564940438,301229317,0
has_coe_to_sort.rec_on,203293,642093948,18968505075,66969968976,706,13934726840,183952421,0
heq.cases_on,243844,574787694,22059630114,78896782257,911,15640998011,186636890,0
decidable.rec_on,203326,741732503,17214191563,67442305881,669,13138953998,237845348,0
true_and,279598,1299619409,31774408845,102533565826,1221,21225174824,202960296,0
option.is_some,162574,1136514481,16128405211,57681708085,1472,12166238810,182813358,0
xor.decidable._proof_2,188504,897181461,16109334689,63024242365,816,12129773192,223979520,0
monad_run.run,261397,949420264,31386676449,123694227223,692,24259927389,336580716,0
xor.decidable._proof_3,190245,893529767,16434204123,63807388485,867,12394288490,223492969,0
psigma.cases_on,212456,736657956,19158065547,82558740589,799,13739198936,204233098,0
is_trans.rec_on,204289,586293969,18076063484,67633287268,627,13468099358,245519988,0
equivalence,196048,610937034,17875335383,65470407545,833,13152201126,53413256,0
ite,209169,951254172,21396784531,68718129303,575,14423655937,206563668,0
function.comp.right_id,97919,612849413,8856080068,32802809563,580,6519422695,153088847,0
is_asymm.cases_on,222752,1135973347,27156928187,74572640618,1092,16210998770,255229353,0
psum.rec_on,253389,560713790,21586074584,79618049113,919,15177039840,230138258,0
is_associative.rec_on,218576,738968128,18247090846,71399897890,564,13833622696,335164433,0
tactic.interactive.case_tag.match_result.has_sizeof_inst,141911,1042947650,11436664989,51457051253,918,9774320841,255645503,0
classical.strong_indefinite_description._proof_2,104119,1137910469,9287013563,34379935722,755,7084635199,235407046,0
is_left_null.cases_on,254247,1110776081,30540810321,81511702939,1332,17935386378,281625073,0
